iter	RMSE
162	0.2953908276
163	0.2944357324
164	0.2936535219
165	0.2929457372
166	0.291986908
167	0.2913468611
168	0.2906434447
169	0.2901496517
170	0.2893905532
171	0.2887533493
172	0.2880549419
173	0.2871850518
174	0.2863963996
175	0.2855565358
176	0.2848330892
177	0.2842931693
178	0.2838342605
179	0.2832792439
180	0.2826966189
181	0.281518275
182	0.2810752655
183	0.2804994741
184	0.2800992303
185	0.2795048414
186	0.2789516715
187	0.2784985584
188	0.2779337081
189	0.2773157414
190	0.2762432861
191	0.2758164411
192	0.275230087
193	0.2748395073
194	0.2740436202
195	0.2726199683
196	0.2719624484
197	0.2715890205
198	0.2709087927
199	0.2700179258
200	0.2696376552
201	0.2691177934
202	0.2681355566
203	0.2673930843
204	0.2670635136
205	0.2668379061
206	0.265839519
207	0.2653112423
208	0.2648936637
209	0.2645693396
210	0.2639890869
211	0.2634897625
212	0.262884459
213	0.2623935826
214	0.2619166088
215	0.2611886956
216	0.2606365846
217	0.260174404
218	0.2593287793
219	0.2585495078
220	0.2579659276
221	0.2573524021
222	0.2565459435
223	0.2560245491
224	0.2558483081
225	0.255058369
226	0.2545886243
227	0.2543273368
228	0.2539203341
229	0.2536043442
230	0.2529610926
231	0.252355672
232	0.2518309072
233	0.251498101
234	0.2505927678
235	0.2498601288
236	0.2493783728
237	0.2488774233
238	0.2484308488
239	0.2479690892
240	0.2476925362
241	0.2473931028
242	0.2469587801
243	0.2466936756
244	0.2464194169
245	0.2456993709
246	0.2452649766
247	0.2449518116
248	0.2444155918
249	0.2440888273
250	0.2436023515
251	0.2433446518
252	0.2428311666
253	0.2424216866
254	0.2420483701
255	0.2417800194
256	0.2415325503
257	0.241330216
258	0.2409217281
259	0.2406348662
260	0.2404152514
261	0.2402377459
262	0.2399915129
263	0.2398193975
264	0.2396314083
265	0.2394554384
266	0.2391124574
267	0.2389564626
268	0.238807555
269	0.2382793869
270	0.2378265568
271	0.2373833118
272	0.237137873
273	0.2367107569
274	0.2365438352
275	0.2364065688
276	0.2362571606
277	0.2359242801
278	0.2357293613
279	0.2352588906
280	0.2349223415
281	0.2346086258
282	0.2342804969
283	0.2335995517
284	0.2331561562
285	0.2328167208
286	0.2327211249
287	0.2323947471
288	0.2322198946
289	0.2320010191
290	0.2316879003
291	0.231379131
292	0.2309017511
293	0.2304051495
294	0.2301053383
295	0.2293409865
296	0.2290484064
297	0.2286443235
298	0.2278987539
299	0.2276875713
300	0.2269703136
301	0.2264284521
302	0.2259742701
303	0.2256479264
304	0.2255845912
305	0.2253456675
306	0.2250914647
307	0.2247882271
308	0.2243237744
309	0.2239663395
310	0.2237098094
311	0.2234328283
312	0.222749909
313	0.2223065763
314	0.2220364797
315	0.221362312
316	0.2211122502
317	0.2204486397
318	0.2200279554
319	0.2198063716
320	0.2195792014
321	0.2189359383
322	0.218339854
323	0.2177297742
324	0.2174813442
325	0.2168898434
326	0.2164009987
327	0.2161058238
328	0.2158681588
329	0.2156265184
330	0.2153583327
331	0.2151402392
332	0.2148788526
333	0.214331755
334	0.2138280464
335	0.2136139376
336	0.2133630395
337	0.2128872129
338	0.212664011
339	0.212531719
340	0.2123103918
341	0.2118533994
342	0.2117640765
343	0.2113987784
344	0.2111181015
345	0.2106096166
346	0.2101898105
347	0.209940158
348	0.2094364818
349	0.2093870562
350	0.2092463726
